,Transcript stable ID
265,ENSDART00000007642
266,ENSDART00000007688
267,ENSDART00000007700
268,ENSDART00000007718
269,ENSDART00000007726
270,ENSDART00000007735
271,ENSDART00000007738
272,ENSDART00000007744
273,ENSDART00000007767
274,ENSDART00000007778
275,ENSDART00000007783
276,ENSDART00000007810
277,ENSDART00000007842
278,ENSDART00000007857
279,ENSDART00000007883
280,ENSDART00000007913
281,ENSDART00000007914
282,ENSDART00000007981
283,ENSDART00000007982
284,ENSDART00000007997
285,ENSDART00000008009
286,ENSDART00000008013
287,ENSDART00000008035
288,ENSDART00000008038
289,ENSDART00000008043
290,ENSDART00000008047
291,ENSDART00000008133
292,ENSDART00000008144
293,ENSDART00000008170
294,ENSDART00000008201
295,ENSDART00000008215
296,ENSDART00000008224
297,ENSDART00000008268
298,ENSDART00000008277
299,ENSDART00000008287
300,ENSDART00000008302
301,ENSDART00000008306
302,ENSDART00000008312
303,ENSDART00000008355
304,ENSDART00000008402
305,ENSDART00000008468
306,ENSDART00000008490
307,ENSDART00000008504
308,ENSDART00000008532
309,ENSDART00000008589
310,ENSDART00000008590
311,ENSDART00000008594
312,ENSDART00000008638
313,ENSDART00000008651
314,ENSDART00000008663
315,ENSDART00000008682
316,ENSDART00000008696
317,ENSDART00000008752
318,ENSDART00000008840
319,ENSDART00000008854
320,ENSDART00000008880
321,ENSDART00000008906
322,ENSDART00000008913
323,ENSDART00000008968
324,ENSDART00000008986
325,ENSDART00000008987
326,ENSDART00000009093
327,ENSDART00000009126
328,ENSDART00000009149
329,ENSDART00000009151
330,ENSDART00000009164
331,ENSDART00000009172
332,ENSDART00000009182
333,ENSDART00000009197
334,ENSDART00000009200
335,ENSDART00000009214
336,ENSDART00000009237
337,ENSDART00000009241
338,ENSDART00000009298
339,ENSDART00000009356
340,ENSDART00000009367
341,ENSDART00000009382
342,ENSDART00000009431
343,ENSDART00000009499
344,ENSDART00000009500
345,ENSDART00000009507
346,ENSDART00000009528
347,ENSDART00000009560
348,ENSDART00000009569
349,ENSDART00000009649
350,ENSDART00000009698
351,ENSDART00000009767
352,ENSDART00000009788
353,ENSDART00000009796
354,ENSDART00000009826
355,ENSDART00000009838
356,ENSDART00000009863
357,ENSDART00000009886
358,ENSDART00000009893
359,ENSDART00000009909
360,ENSDART00000009920
361,ENSDART00000009938
362,ENSDART00000010019
363,ENSDART00000010026
364,ENSDART00000010028
365,ENSDART00000010035
366,ENSDART00000010041
367,ENSDART00000010046
368,ENSDART00000010048
369,ENSDART00000010079
370,ENSDART00000010104
371,ENSDART00000010140
372,ENSDART00000010143
373,ENSDART00000010148
374,ENSDART00000010189
375,ENSDART00000010257
376,ENSDART00000010293
377,ENSDART00000010294
378,ENSDART00000010329
379,ENSDART00000010370
380,ENSDART00000010378
381,ENSDART00000010449
382,ENSDART00000010477
383,ENSDART00000010507
384,ENSDART00000010512
385,ENSDART00000010521
386,ENSDART00000010543
387,ENSDART00000010580
388,ENSDART00000010584
389,ENSDART00000010626
390,ENSDART00000010632
391,ENSDART00000010647
392,ENSDART00000010658
393,ENSDART00000010683
394,ENSDART00000010697
395,ENSDART00000010699
396,ENSDART00000010757
397,ENSDART00000010792
398,ENSDART00000010824
399,ENSDART00000010862
400,ENSDART00000010894
401,ENSDART00000010932
402,ENSDART00000010997
403,ENSDART00000011004
404,ENSDART00000011025
405,ENSDART00000011076
406,ENSDART00000011096
407,ENSDART00000011121
408,ENSDART00000011135
409,ENSDART00000011143
410,ENSDART00000011178
411,ENSDART00000011221
412,ENSDART00000011258
413,ENSDART00000011303
414,ENSDART00000011305
415,ENSDART00000011319
416,ENSDART00000011324
417,ENSDART00000011332
418,ENSDART00000011389
419,ENSDART00000011397
420,ENSDART00000011416
421,ENSDART00000011432
422,ENSDART00000011447
423,ENSDART00000011456
424,ENSDART00000011497
425,ENSDART00000011520
426,ENSDART00000011534
427,ENSDART00000011554
428,ENSDART00000011645
429,ENSDART00000011657
430,ENSDART00000011662
431,ENSDART00000011691
432,ENSDART00000011699
433,ENSDART00000011704
434,ENSDART00000011715
435,ENSDART00000011724
436,ENSDART00000011725
437,ENSDART00000011780
438,ENSDART00000011809
439,ENSDART00000011910
440,ENSDART00000011931
441,ENSDART00000011936
442,ENSDART00000011943
443,ENSDART00000011967
444,ENSDART00000012018
445,ENSDART00000012037
446,ENSDART00000012104
447,ENSDART00000012116
448,ENSDART00000012120
449,ENSDART00000012157
450,ENSDART00000012164
451,ENSDART00000012194
452,ENSDART00000012207
453,ENSDART00000012212
454,ENSDART00000012232
455,ENSDART00000012318
456,ENSDART00000012352
457,ENSDART00000012385
458,ENSDART00000012399
459,ENSDART00000012438
460,ENSDART00000012445
461,ENSDART00000012470
462,ENSDART00000012476
463,ENSDART00000012506
464,ENSDART00000012507
465,ENSDART00000012582
466,ENSDART00000012630
467,ENSDART00000012644
468,ENSDART00000012653
469,ENSDART00000012686
470,ENSDART00000012692
471,ENSDART00000012791
472,ENSDART00000012807
473,ENSDART00000012820
474,ENSDART00000012822
475,ENSDART00000012842
476,ENSDART00000012857
477,ENSDART00000012873
478,ENSDART00000012889
479,ENSDART00000012903
480,ENSDART00000012919
481,ENSDART00000012940
482,ENSDART00000013001
483,ENSDART00000013003
484,ENSDART00000013007
485,ENSDART00000013033
486,ENSDART00000013066
487,ENSDART00000013082
488,ENSDART00000013083
489,ENSDART00000013093
490,ENSDART00000013170
491,ENSDART00000013203
492,ENSDART00000013217
493,ENSDART00000013228
494,ENSDART00000013263
495,ENSDART00000013282
496,ENSDART00000013313
497,ENSDART00000013343
498,ENSDART00000013394
499,ENSDART00000013404
500,ENSDART00000013409
501,ENSDART00000013453
502,ENSDART00000013454
503,ENSDART00000013525
504,ENSDART00000013534
505,ENSDART00000013563
506,ENSDART00000013575
507,ENSDART00000013590
508,ENSDART00000013591
509,ENSDART00000013604
510,ENSDART00000013659
511,ENSDART00000013676
512,ENSDART00000013743
513,ENSDART00000013768
514,ENSDART00000013781
515,ENSDART00000013796
516,ENSDART00000013797
517,ENSDART00000013814
518,ENSDART00000013816
519,ENSDART00000013830
520,ENSDART00000013835
521,ENSDART00000013861
522,ENSDART00000013865
523,ENSDART00000013870
524,ENSDART00000013894
525,ENSDART00000013924
526,ENSDART00000013990
527,ENSDART00000014000
528,ENSDART00000014020
529,ENSDART00000014021
530,ENSDART00000014024
