Transcript stable ID	Protein stable ID
ENSDART00000100904	ENSDARP00000091677
ENSDART00000100911	ENSDARP00000091684
ENSDART00000100918	ENSDARP00000091691
ENSDART00000100937	ENSDARP00000091710
ENSDART00000100941	ENSDARP00000091714
ENSDART00000100961	ENSDARP00000091733
ENSDART00000100974	ENSDARP00000091746
ENSDART00000101000	ENSDARP00000091772
ENSDART00000101007	ENSDARP00000091780
ENSDART00000101018	ENSDARP00000091792
ENSDART00000101026	ENSDARP00000091800
ENSDART00000101037	ENSDARP00000091811
ENSDART00000101044	ENSDARP00000091818
ENSDART00000101054	ENSDARP00000091828
ENSDART00000101070	ENSDARP00000091844
ENSDART00000101077	ENSDARP00000091851
ENSDART00000101080	ENSDARP00000091854
ENSDART00000101082	ENSDARP00000091856
ENSDART00000101085	ENSDARP00000091859
ENSDART00000101091	ENSDARP00000091866
ENSDART00000101097	ENSDARP00000091872
ENSDART00000101107	ENSDARP00000091882
ENSDART00000101120	ENSDARP00000091894
ENSDART00000101126	ENSDARP00000091900
ENSDART00000101147	ENSDARP00000091921
ENSDART00000101168	ENSDARP00000091942
ENSDART00000101191	ENSDARP00000091965
ENSDART00000101200	ENSDARP00000091974
ENSDART00000101201	ENSDARP00000091975
ENSDART00000101203	ENSDARP00000091977
ENSDART00000101224	ENSDARP00000091998
ENSDART00000101266	ENSDARP00000092040
ENSDART00000101296	ENSDARP00000092070
ENSDART00000101316	ENSDARP00000092090
ENSDART00000101319	ENSDARP00000092093
ENSDART00000101394	ENSDARP00000092168
ENSDART00000101404	ENSDARP00000092178
ENSDART00000101406	ENSDARP00000092180
ENSDART00000101408	ENSDARP00000092182
ENSDART00000101423	ENSDARP00000092197
ENSDART00000101441	ENSDARP00000092215
ENSDART00000101447	ENSDARP00000092221
ENSDART00000101462	ENSDARP00000092236
ENSDART00000101463	ENSDARP00000092237
ENSDART00000101466	ENSDARP00000092240
ENSDART00000101470	ENSDARP00000092244
ENSDART00000101472	ENSDARP00000092246
ENSDART00000101474	ENSDARP00000092248
ENSDART00000101483	ENSDARP00000092257
ENSDART00000101489	ENSDARP00000092263
ENSDART00000101513	ENSDARP00000092287
ENSDART00000101528	ENSDARP00000092302
ENSDART00000101575	ENSDARP00000092348
ENSDART00000101576	ENSDARP00000092349
ENSDART00000101616	ENSDARP00000092390
ENSDART00000101627	ENSDARP00000092401
ENSDART00000101629	ENSDARP00000092403
ENSDART00000101631	ENSDARP00000092405
ENSDART00000101633	ENSDARP00000092407
ENSDART00000101636	ENSDARP00000092410
ENSDART00000101637	ENSDARP00000092411
ENSDART00000101641	ENSDARP00000106043
ENSDART00000101644	ENSDARP00000092418
ENSDART00000101653	ENSDARP00000092427
ENSDART00000101659	ENSDARP00000092433
ENSDART00000101685	ENSDARP00000092459
ENSDART00000101732	ENSDARP00000092508
ENSDART00000101751	ENSDARP00000092527
ENSDART00000101756	ENSDARP00000092532
ENSDART00000101775	ENSDARP00000092551
ENSDART00000101784	ENSDARP00000092560
ENSDART00000101794	ENSDARP00000092570
ENSDART00000101799	ENSDARP00000092575
ENSDART00000101829	ENSDARP00000092605
ENSDART00000101861	ENSDARP00000092636
ENSDART00000101948	ENSDARP00000106367
ENSDART00000101949	ENSDARP00000092724
ENSDART00000101965	ENSDARP00000092740
ENSDART00000101970	
ENSDART00000101985	ENSDARP00000092760
ENSDART00000101986	ENSDARP00000092761
ENSDART00000102006	ENSDARP00000092782
ENSDART00000102010	ENSDARP00000092786
ENSDART00000102011	ENSDARP00000092787
ENSDART00000102016	ENSDARP00000092792
ENSDART00000102022	ENSDARP00000092798
ENSDART00000102027	ENSDARP00000092803
ENSDART00000102096	ENSDARP00000092872
ENSDART00000102106	ENSDARP00000092882
ENSDART00000102120	ENSDARP00000092896
ENSDART00000102147	ENSDARP00000092923
ENSDART00000102148	ENSDARP00000092924
ENSDART00000102184	ENSDARP00000092960
ENSDART00000102197	ENSDARP00000092973
ENSDART00000102214	ENSDARP00000092990
ENSDART00000102232	ENSDARP00000093008
ENSDART00000102239	ENSDARP00000093015
ENSDART00000102245	ENSDARP00000093021
ENSDART00000102251	ENSDARP00000093027
ENSDART00000102260	ENSDARP00000093036
ENSDART00000102261	ENSDARP00000093037
ENSDART00000102304	ENSDARP00000093080
ENSDART00000102305	ENSDARP00000093081
ENSDART00000102322	ENSDARP00000093098
ENSDART00000102328	ENSDARP00000093104
ENSDART00000102335	ENSDARP00000093111
ENSDART00000102337	ENSDARP00000093113
ENSDART00000102368	ENSDARP00000093144
ENSDART00000102379	ENSDARP00000093155
ENSDART00000102408	ENSDARP00000093185
ENSDART00000102416	ENSDARP00000093193
ENSDART00000102433	ENSDARP00000093210
ENSDART00000102434	ENSDARP00000093211
ENSDART00000102445	ENSDARP00000093222
ENSDART00000102471	ENSDARP00000093248
ENSDART00000102483	ENSDARP00000093260
ENSDART00000102484	ENSDARP00000093261
ENSDART00000102498	ENSDARP00000093275
ENSDART00000102499	ENSDARP00000093276
ENSDART00000102501	ENSDARP00000093278
ENSDART00000102505	ENSDARP00000100243
ENSDART00000102511	ENSDARP00000093287
ENSDART00000102515	ENSDARP00000093291
ENSDART00000102518	ENSDARP00000093294
ENSDART00000102520	ENSDARP00000093296
ENSDART00000102523	ENSDARP00000093299
ENSDART00000102530	ENSDARP00000093306
ENSDART00000102534	ENSDARP00000093310
ENSDART00000102552	ENSDARP00000093328
ENSDART00000102553	ENSDARP00000093329
ENSDART00000102562	ENSDARP00000093338
ENSDART00000102563	ENSDARP00000093339
ENSDART00000102572	ENSDARP00000093348
ENSDART00000102576	ENSDARP00000093352
ENSDART00000102584	ENSDARP00000093360
ENSDART00000102600	ENSDARP00000093375
ENSDART00000102611	ENSDARP00000093386
ENSDART00000102629	ENSDARP00000093404
ENSDART00000102645	ENSDARP00000093420
ENSDART00000102649	ENSDARP00000093424
